experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170228-0-3425,250-500 5 peaks (4 and 3),38.70656894680782,10.83333333,46.04166667,29.375,20.104166665,267.9166667,31.711322238904472,1005.6079581396374,307,1912.4455337369932,10.0,1230.3125,188.9583333,41.927083332500004,41652.08333,5148.910505257572,26511279.391151793,306
20170228-0-3425,250-500 6 peaks(4 and 3),42.10887611747126,11.04166667,51.04166667,32.70833333,23.125,267.9166667,33.14475632364598,1098.5748717538702,261,2253.8173076421153,10.0,1606.3541665,244.7916667,50.572916665,41652.08333,5544.7627605703665,30744394.07100791,260
20170228-NO-3425,80-250 4 peaks (3 and 2),36.981122848251175,10.41666667,45.260416665,30.3125,21.04166667,377.2916667,25.483854598610872,649.4268452031405,852,662.7433411589777,10.0,757.39583335,159.1666667,51.666666665,11590.20833,1264.1225664467413,1598005.8629998958,851
20170228-NO-3425,80-250 5 peaks (3 and 2),42.64602803746106,11.04166667,50.364583335,36.45833333,26.45833333,377.2916667,26.837019179613872,720.2255984469629,642,879.7705408314664,10.0,931.4583333,208.125,59.79166667,12276.25,1650.0991118263319,2722827.078850049,641
20170228-NO-3425,80-250 6 peaks (3 and 2),47.39542160737154,15.0,55.20833333,40.625,30.625,377.2916667,28.133285905943065,791.4817758655347,506,1122.7887789008712,10.0,1248.958333,265.8333333,61.66666667,16596.04167,2060.238840972319,4244584.081850964,505
20170228-NO-3425,80-250 4 peaks (4 and 3),34.57351290717172,11.25,42.70833333,29.79166667,22.08333333,127.9166667,18.69267072774875,349.41593893603505,297,1959.959881772804,10.0,2206.71875,453.02083335,103.645833325,23673.75,3459.2000423944587,11966064.933301825,296
20170228-NO-3425,80-250 5 peaks (4 and 3),40.35829307613526,12.5,46.770833335,34.79166667,27.604166665,127.9166667,19.1780281480257,367.79676364646605,207,2825.545105261942,10.0,3079.9479165000002,637.70833335,149.99999997499998,34816.875,5067.35004526675,25678036.481264934,206
20170228-NO-3425,80-250 6 peaks (4 and 3),45.3750000006,18.54166667,52.6562499975,40.208333335,31.45833333,127.9166667,19.93364281236493,397.3501157709481,150,3916.847035884698,10.0,3881.041667,1221.875,240.4166667,34816.875,6642.858179786487,44127564.796756245,149
20170228-NO-3425,250-500 4 peaks (3 and 2),32.10205580028194,10.0,39.16666667,26.04166667,17.29166667,195.0,22.914956912328844,525.0952502938875,1135,494.7567607310493,10.0,536.718749975,124.0625,46.979166667499996,10446.66667,951.8380635404357,905995.6992044064,1134
20170228-NO-3425,250-500 5 peaks (3 and 2),35.218129571536046,10.0,42.08333333,28.54166667,20.41666667,195.0,23.57929949575359,555.9833647104456,957,589.7345711239121,10.0,676.92708335,160.72916665,52.08333333,10698.75,1066.5585942768005,1137547.2350257046,956
